Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Pois chiches,Carrefour,A,Légumineuses,123.0,0.5,2.1,0.3,0.41,6.1,6.9,85.4459018271379
Baked Beans in Tomato Sauce,"Sainsbury's,Hubbard's Foodstore",A,Légumineuses,80.0,3.5,0.5,0.1,0.525,3.6,4.2,92.1956295525494
Taste of Gorgeous Green,Lidl,A,Légumineuses,99.0,1.2,1.7,0.3,0.4,4.5,6.1,97.6428571428571
shredded wheat,Nestlé,A,Céréales,367.0,0.7,2.2,0.5,0.05,12.5,11.8,0.0
Muesli Bio Superfruits,Jordans,A,Céréales,360.0,10.2,5.5,1.0,0.03,9.4,11.2,18.0
Petits Pois et Carottes 1/2,Cassegrain,A,Légumineuses,59.0,3.8,0.7,0.0,0.77,4.2,3.6,95.4170883330924
Cannellini Beans,Sainsburys,A,Légumineuses,88.1,0.426,0.596,0.0851,0.0255,6.38,7.49,76.9230769230769
Butter beans in water,Sainsbury's,A,Légumineuses,108.0,0.5,0.7,0.1,0.03,7.3,6.9,76.9230769230769
Taco Mixed Beans,Tesco,A,Légumineuses,69.2,4.09,0.606,0.0,0.4,5.0,5.05,97.2928115744996
Haricots Verts extra-fins 1/4,Cassegrain,A,Légumineuses,20.0,1.3,0.1,0.1,0.79,2.4,1.4,99.094981259713
Sauce Tomate Napolitaine,Combino,A,Légumineuses,59.0,5.1,2.9,0.4,0.7875,0.0,1.4,88.25
Granola Amandes Noisettes & Graines,Jordans,A,Céréales,451.0,2.5,14.8,2.4,0.03,16.1,12.6,18.75
Crownfield Special Flakes Red Fruit,"Crownfield, Lidl",A,Céréales,382.0,11.5,2.6,0.7,0.182,6.5,8.9,4.5
Ready brek original,Ready brek,A,Céréales,374.0,1.0,8.7,1.2,0.03,7.9,12.0,0.0
Jardinière 1/2,Cassegrain,A,Légumes,71.0,0.5,0.5,0.1,0.77,3.9,3.5,98.1695063346439
Scottish Oats,Tesco,A,Céréales,370.0,1.0,7.5,1.3,0.01,8.4,11.7,0.0
Chopped tomatoes,Waitrose,A,Légumes,21.0,3.2,0.5,0.1,0.03,1.2,0.9,91.25
Macédoine de légumes,Freshona,A,Légumes,43.0,1.0,0.4,0.1,0.55,4.3,2.7,96.875
Petits pois & carottes,Carrefour,A,Légumes,46.0,3.4,0.6,0.2,0.5,3.5,2.5,97.0432145564822
Double concentré de tomates,Jardin bio,A,Légumes,93.0,15.0,1.0,0.2,0.3,2.3,4.8,100.0
Mushy peas,"Hubbards, Stanford Street",A,Légumes,71.0,0.7,0.5,0.1,0.38,2.8,4.5,0.0
Hrášek v mírně slaném nálevu,Bonduelle,A,Légumineuses,74.0,2.6,0.7,0.1,0.73,7.8,5.5,84.6164940721724
Valfrutta,"Conserve Italia, Valfrutta",A,Légumes,30.0,3.7,0.2,0.1,0.013,0.8,1.2,83.3333333333333
PROTEIN,Weetabix,A,Céréales,365.0,4.75,2.5,0.5,0.25,10.0,19.0,0.0
Macédoine de légumes - 1/2,"Les Mousquetaires, Saint eloi, Sélection des Mousquetaires",A,Légumes,39.0,1.5,0.0,0.0,0.53,3.6,2.3,99.5575221238938
Couscous de légumes à l'orientale,Carrefour,A,Légumes,28.0,1.8,0.7,0.0,0.55,1.6,1.2,91.7877906976744
eingelegte Paprika,"Freshona, Sole",A,Légumes,33.0,4.5,0.5,0.0,0.88,0.0,1.5,83.9756111999053
Petit pois,Freshona,A,Légumes,79.0,4.4,0.4,0.0,0.0,6.1,4.9,84.2592592592593
Malt wheaties,Crownfield,A,Céréales,373.0,10.3,2.67,0.667,0.458,12.7,9.67,0.0
Haricots verts extra-fins - 4/4,"Les Mousquetaires, Saint eloi, Sélection des Mousquetaires",A,Légumes,31.0,0.5,0.5,0.1,0.62,2.4,1.4,85.5180309101317
Petits pois et carottes extra fins,"Marque Repère, Notre Jardin",A,Légumes,50.0,3.0,0.1,0.1,0.24,3.5,2.5,46.1538461538462
Italian plum tomatoes,Sainsbury's,A,Légumes,22.0,3.8,0.5,0.1,2.5e-05,0.8,1.1,91.25
Haricots verts très fins,Freshona,A,Légumes,26.0,1.0,0.2,0.1,0.63,2.7,1.6,85.508200475141
Copos de trigo integral y arroz 0% azúcares añadidos,"Hacendado,Mercadona",A,Céréales,373.0,0.667,1.67,0.167,0.6,4.67,10.3,0.0
Pelati Geschälte Tomaten,Cirio,A,Légumes,27.0,3.8,0.2,0.1,0.02,1.1,1.1,83.3333333333333
Choux de Bruxelles,"Marque Repère, Notre Jardin, Scamark (Filiale E. Leclerc)",A,Légumes,39.0,2.8,0.5,0.1,0.5,2.9,2.5,85.5507868383405
Pulpe de tomate,"Jardin bio, Léa Nature",A,Légumes,25.0,3.1,0.0,0.0,0.02,1.3,1.3,79.1666666666667
Weetabix Organic,Weetabix,A,Céréales,358.0,4.4,2.0,0.6,0.3,10.0,10.0,0.0
Flocons d'avoine complète 500g,Chabrior,A,Céréales,369.0,1.1,6.8,1.2,0.05,10.0,12.0,0.0
Cocoa & Hazelnut Gut-Loving Granola,Bio & Me,A,Céréales,403.0,12.3,14.2,1.67,0.163,19.0,16.0,34.8181818181818
Swiss Style Muesli,Alpen,A,Céréales,369.0,16.0,5.8,0.9,0.28,8.3,12.0,17.0
British Mushy Peas,Tesco,A,Légumes,72.0,1.3,0.4,0.1,0.4,2.8,4.3,95.7661290322581
Jordans Natural Muesli,Jordans,A,Céréales,354.0,15.8,3.6,0.7,0.03,11.6,12.0,32.0
Porridge Oat,"Everyday essentials,Aldi",A,Céréales,375.0,1.0,7.75,1.5,0.0,9.25,11.2,0.0
Black Beans in Water,Tesco,A,Légumineuses,110.0,0.5,0.6,0.1,0.01,7.1,7.5,80.0
Multi-Grain Hoops,"Harvest Morn, Aldi",A,Céréales,370.0,14.0,3.33,0.667,0.558,12.3,10.7,0.0
Bran Flakes,Harvest Morn,A,Céréales,359.0,11.0,2.5,0.5,0.28,16.0,12.0,0.0
Mixed Beans,Four Seasons,A,Légumineuses,106.0,0.5,0.5,0.1,0.06,9.7,7.8,80.0
Haricots Verts extra-fins 1/2,Cassegrain,A,Légumineuses,20.0,1.3,0.1,0.1,0.79,2.4,1.4,99.094981259713
Red Kidney Beans,Freshona,A,Légumineuses,117.0,2.0,1.0,0.1,0.5,7.0,8.4,84.5598845598846
Cocoa Alpha Bites,BEAR,A,Céréales,385.0,12.0,2.4,0.8,0.1,6.7,10.0,0.0
Grão-de-bico Chickpeas Lidl,"Freshona,Sol&Mar,Campo Largo",A,Légumineuses,112.0,0.9,2.4,0.4,0.6,7.6,6.7,85.1234922458357
Flocons d'avoine,"Marque Repère, Grainéa",A,Céréales,372.0,0.7,7.0,1.3,0.025,10.0,14.0,0.0
,Freshona - Lidl,A,Légumineuses,124.0,0.0,2.3,0.3,0.03,6.9,7.4,100.0
Chickpeas in water,Napolina,A,Légumineuses,126.67304,0.0,2.2,0.3,0.025,7.4,7.2,80.0
Paahdettu maapähkinä,Alesto,A,Légumineuses,626.0,5.3,51.8,7.9,0.04,8.3,24.7,75.0
Shredded Wheat,Nestlé,A,Céréales,367.5,0.75,2.25,0.5,0.05,0.0,11.75,0.0
Haricots rouges Très peu de jus 1/2,Bonduelle,A,Légumineuses,108.0,0.8,0.6,0.1,0.22,8.0,7.7,85.5704313994736
