Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Lemon Juice,"by Sainsbury's,Sainsbury's",B,Jus de Fruits,0.0,0.9,0.5,0.1,0.02,0.5,0.5,83.3333333333333
chocapic,"Nestlé, Chocapic",B,Céréales,384.0,19.9,4.4,1.1,0.2,7.7,8.5,0.0
Pur jus de citron,"Carrefour BIO, Carrefour",B,Jus de Fruits,27.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0
PRESSup ORANGE 1L,jaouda,B,Jus de Fruits,37.0,4.5,0.0,0.0,0.0025,0.2,0.1,66.0
Jus de citron de sicile,"U, U Bio",B,Jus de Fruits,29.0,1.7,0.1,0.0,0.01,0.4,0.4,100.0
Pizza thon,"Marque Repère, Turini",B,Pizzas,239.0,2.9,11.0,3.0,0.87,3.4,13.0,29.45
Sliced Gherkins,Freshona,B,Légumes,39.0,8.0,0.1,0.1,0.393,1.0,0.3,79.6731923905327
Haricots Rouges façon Chili 1/2,Bonduelle,B,Légumineuses,69.0,2.0,0.6,0.1,1.0,3.3,4.4,106.64
Maïs croquant Sans résidu de pesticides d'aucy 285g,d'aucy,B,Légumes,89.0,4.9,2.4,0.5,0.43,3.8,2.9,85.2915029680824
Maïs SSA 1/4 x3,Bonduelle,B,Légumes,76.0,6.3,1.2,0.2,0.28,2.8,2.9,85.3807223372441
Cannellini Beans In Water,Tesco,B,Légumineuses,90.0,0.8,0.6,0.2,0.06,5.8,5.9,76.9230769230769
Lentilles Vapeur,Bonduelle,B,Légumineuses,116.0,0.5,0.4,0.1,0.48,6.8,8.7,0.0
Lentilles,Carrefour,B,Légumineuses,88.0,0.5,0.5,0.1,0.3,3.8,6.6,50.0
Green Lentils in Water,Freshona,B,Légumineuses,102.0,0.3,0.5,0.1,0.01,4.0,7.2,66.6666666666667
Lentilles préparées Cultivés en France d'aucy 265g,D'aucy,B,Légumineuses,70.0,0.1,0.5,0.0,0.62,3.0,5.3,50.0
Haricots rouges d'aucy 250g,D'aucy,B,Légumes,96.0,0.5,0.7,0.1,0.53,6.5,7.2,50.0
Maïs doux,Mido,B,Légumes,82.0,6.7,1.4,0.4,0.5,0.0,2.5,83.3138856476079
Maïs doux,Inconnu,B,Légumes,82.0,2.0,1.4,0.0,0.5,0.0,2.8,0.0
Old El Paso Jalapenos,Old El Paso,B,Légumes,20.0,2.0,0.20000000298023,0.10000000149012,1.2000000476837,0.0,0.5,84.9252013493257
Haricots blancs a la tomate,Carrefour BIO,B,Légumes,68.0,0.9,0.5,0.2,0.56,5.4,5.3,98.5632183908046
Lentilles préparées,Cassegrain,B,Légumineuses,93.0,0.5,0.5,0.1,0.76,3.1,6.6,92.5545571245186
Green lentils in water,Sainsbury's,B,Légumineuses,82.0,0.0,0.6,0.1,0.03,4.4,6.1,80.0
Lentilles façon petit salé,"Jardin Bio, Léa nature",B,Légumineuses,135.0,0.6,2.3,0.3,0.65,7.2,8.0,41.425
Garbanzo cocido,Hacendado,B,Légumineuses,90.0,0.7,2.2,0.5,0.8,4.7,5.5,85.1894374282434
Curry de pois chiches aux épices douces d'aucy 380g,D'aucy,B,Légumineuses,89.0,2.5,3.5,1.0,0.87,3.2,3.5,99.2923583984375
Sweetcorn in Water,Tesco,B,Légumes,80.0,6.77,1.92,0.385,0.039,2.92,2.77,100.0
Porumb boabe Dulce și crocant,Bonduelle,B,Légumes,73.0,5.1,1.4,0.2,0.28,3.0,2.7,85.6227839414389
Gurken Cornichons mit feiner Honignote,Freshona,B,Légumes,71.0,10.8,0.3,0.1,0.35,2.4,1.4,72.0
Haricots Coco cuisinés aux Tomates,Cassegrain,B,Légumes,74.0,1.4,0.3,0.0,0.78,4.2,4.7,96.7246277007833
Pimientos del piquillo,Hacendado,B,Légumes,40.0,7.1,0.4,0.1,1.1,0.0,1.0,82.2143698468787
Sliced Beetroot,Aldi,B,Légumes,29.0,4.8,0.5,0.1,0.2,0.0,0.9,0.113548387096774
,Gullón,B,Biscuits,446.0,1.0,14.0,2.0,0.65,14.0,7.8,0.0
Lenteja pardina,Hacendado,B,Légumineuses,81.0,0.5,0.4,0.1,0.8,0.0,5.7,85.1894374282434
Maïs SSA 1/2,Bonduelle,B,Légumes,80.0,5.2,1.9,0.5,0.4,3.8,2.9,75.0636132315522
Incredible Curried Chickpeas,Jamie Oliver,B,Légumineuses,135.0,0.8,4.3,0.4,0.4,4.5,6.1,52.0
Mais 3x140gr Sans sucres ajoutés,Carrefour,B,Légumes,77.0,6.2,1.2,0.2,0.28,3.0,2.4,85.5311355311355
Maïs SRP 1/2,Bonduelle,B,Légumes,73.0,5.1,1.4,0.2,0.28,3.0,2.7,85.2364475201845
Orge & pruneaux a la marocaine,Céréal Bio,B,Légumineuses,137.0,4.7,3.2,0.4,0.7,5.1,5.6,27.9538265306122
Galletas de trigo espelta 0% azúcares añadidos,Hacendado,B,Biscuits,422.0,2.0,16.0,1.3,0.885,8.0,9.0,0.0
Baked Beans,"Morrisons,Savers",B,Légumes,83.0,4.6,0.6,0.1,0.46,3.7,4.3,98.785400390625
Petits Pois 1/2,Cassegrain,B,Légumes,75.0,3.6,0.9,0.1,0.8,5.3,5.0,95.7004160887656
Trio de lentilles à la moutarde à l'ancienne - Végétal,Pierre Martinet,B,Légumineuses,131.0,1.5,4.1,0.3,0.94,4.6,7.2,81.260119047619
Lentilles préparées - Boîte 530g,U,B,Légumes,72.0,0.5,0.5,0.1,0.74,3.2,5.6,96.6726618705036
Kingsize Peanuts Unsalted,Snacks of the world,B,Légumineuses,619.0,5.8,50.0,6.8,0.0,0.0,26.0,96.0
Old El Paso Jalapenos,Old El Paso,B,Légumes,20.0,2.0,0.20000000298023,0.10000000149012,1.2000000476837,0.0,0.5,84.9252013493257
Lentilles vertes,"Jardin bio, Léa Nature",B,Légumineuses,128.0,1.2,1.7,0.2,0.7,5.6,8.3,32.7
Lentilles préparées - 1/2,Saint Eloi,B,Légumineuses,82.0,0.3,0.5,0.1,0.81,3.5,5.7,50.0
Jus de citron,"Antartic, Intermarché, Paquito, paquito2",B,Jus de Fruits,16.0,1.0,0.5,0.1,0.01,0.0,0.5,38.95
Lentilles préparées 4/4,Cassegrain,B,Légumineuses,93.0,0.5,0.5,0.1,0.76,3.1,6.6,36.05
Pois chiches,"Marque Repère,Notre Jardin",B,Légumineuses,125.0,0.7,2.5,0.4,0.7,5.8,6.7,85.4852562267392
Chickpeas,Morrisons,B,Légumineuses,128.0,0.4,2.9,0.3,0.0,0.0,7.4,80.0
Curry de pois chiches aux épices douces d'aucy 380g,D'aucy,B,Légumineuses,89.0,2.5,3.5,1.0,0.87,3.2,3.5,99.2923583984375
Haricots rouges d'aucy 500g,D'aucy,B,Légumes,96.0,0.5,0.7,0.1,0.53,6.5,7.2,50.0
"Lentilles cuisinées, riz & soja",Céréal Bio,B,Légumineuses,153.0,1.6,6.4,1.1,0.72,8.9,6.4,50.0
Cookie🍪 cacao pépites Sans Sucre,Gerblé,B,Biscuits,414.0,0.0,18.0,3.3,0.21,8.9,8.0,16.4
Maíz dulce,Hacendado,B,Légumes,75.0,4.7,2.3,0.5,0.492,0.0,2.6,80.0
Châtaignes,Carrefour,B,Légumes,168.0,8.0,1.7,0.4,0.13,5.1,2.6,100.0
Lentilles préparées 1/2,Cassegrain,B,Légumineuses,93.0,0.5,0.5,0.1,0.76,3.1,6.6,92.5545571245186
Tajine de Légumes Grillés 1/2,Cassegrain,B,Légumes,77.0,6.7,3.8,0.5,0.8,1.8,1.4,97.55
Cannellini Beans In Water,Tesco,B,Légumes,90.0,0.8,0.6,0.2,0.06,5.8,5.9,76.9230769230769
Heinz Baked Beans,Heinz,B,Légumineuses,81.0,4.29,0.337,0.0482,0.616,3.86,4.82,93.4662890625
Puy Lentils & French green lentils,Merchant Gourmet,B,Légumineuses,148.0,1.0,1.7,0.4,0.01,5.2,11.0,2.5
Bi frutas Tropical,Pascual,B,Jus de Fruits,21.0,4.8,0.0,0.0,0.03,0.0,0.3,0.0
Sauce tomate Spaghetti,"Jardin BIO, Jardin biologique, Léa Nature",B,Légumes,77.0,4.2,4.2,0.5,1.1,1.7,1.4,97.8271809289327
Sweetcorn in Water,Tesco,B,Légumes,80.0,6.8,1.9,0.4,0.0,2.9,2.8,100.0
Lactofermented Vegetable Cocktail,Nutriform,B,Légumes,13.0,0.5,0.0,0.0,0.85,3.1,0.4,76.0
Figue & son,Gerblé,B,Biscuits,450.0,16.0,19.0,1.7,0.19,13.0,9.3,16.3
Chopped Italian Tomatoes in tomato juice,M&S,B,Légumes,25.0,3.8,0.2,0.1,0.02,1.2,1.3,26.25
Cornichons,star,B,Légumes,87.0,1.09,0.31,0.12,0.0079,0.0,2.2,0.0
Pomme 🍏 🍎 Noisette🥜,Gerblé,B,Biscuits,453.0,11.0,17.0,1.5,0.01,6.6,9.8,26.35
Haricots blancs cuisinés à l'Auvergnate,Raynal et Roquelaure,B,Légumes,92.0,0.6,1.5,0.5,0.8,5.3,5.9,95.974609375
Sliced Gherkins,Baxters,B,Légumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7272727272727
Green lentils in water,Four seasons,B,Légumineuses,82.0,0.5,0.5,0.1,0.01,4.1,6.0,66.6666666666667
Galletas fibra zero azúcares,Gullón,B,Biscuits,431.0,0.5,17.0,1.7,0.65,9.3,6.1,0.0
Lentilles Vapeur,Bonduelle,B,Légumes,116.0,0.5,0.4,0.1,0.48,6.8,8.7,0.0
Galletas Desayuno Zero Sin Azúcares,Gullón,B,Biscuits,410.0,1.4,14.0,1.3,0.65,9.8,6.8,0.0
Haricots Blancs préparés 1/2,Cassegrain,B,Légumes,98.0,1.1,0.6,0.1,0.77,5.7,6.5,98.3867674086175
Haricots rouges d'aucy 250g,D'aucy,B,Légumineuses,96.0,0.5,0.7,0.1,0.53,6.5,7.2,50.0
Mais klein,Freshona,B,Légumes,77.0,5.2,1.8,0.4,0.28,2.8,2.9,0.0
Haricots Coco cuisinés aux Tomates,Cassegrain,B,Légumineuses,74.0,1.4,0.3,0.0,0.78,4.2,4.7,96.7246277007833
Curry de pois chiches aux épices douces d'aucy 380g,D'aucy,B,Légumes,89.0,2.5,3.5,1.0,0.87,3.2,3.5,99.2923583984375
Lentils in water,Napolina,B,Légumineuses,86.0,0.1,0.7,0.3,0.05,7.82,6.1,76.9230769230769
Maïs Doux,,B,Légumes,69.0,5.5,0.6,0.2,0.3,0.0,3.2,85.6162424935659
Peanuts roasted & salted,Alesto,B,Légumineuses,619.0,5.3,51.4,7.9,0.8,8.2,24.0,74.2
Haricots rouges - Boîte 500g,U,B,Légumes,96.0,0.5,0.7,0.1,0.44,6.5,7.2,50.0
Mais,Golden,B,Légumes,107.0,0.0,0.2,0.0,0.0,0.0,3.3,0.0
Lentilles préparées,Cassegrain,B,Légumes,93.0,0.5,0.5,0.1,0.76,3.1,6.6,92.5545571245186
Sauerkraut,Baxters,B,Légumes,13.0,0.5,0.5,0.1,1.25,2.0,0.7,85.3046594982079
Unsweetened UHT Soya Drink,Actileaf,B,Légumineuses,31.0,0.0,1.9,0.3,0.0775,0.0,3.4,9.0
French Inspired Lentils,Worldwide Foods,B,Légumineuses,119.0,2.1,2.4,0.3,0.79,5.2,7.2,54.895
Goûter 4S Saveur pommes,Gerblé,B,Biscuits,456.0,8.9,17.0,1.4,0.05,6.5,7.6,10.9
Maïs croquant sans sucres ajoutés,"Marque Repère, Notre Jardin",B,Légumes,79.0,3.825,1.7,0.15,0.3,2.25,2.6,76.9230769230769
Graze Marmite Crunch,Graze,B,Légumineuses,441.0,1.3,18.0,1.9,1.0825,7.9,15.0,18.75
,"Freshona,Lidl",B,Légumes,82.0,6.7,1.4,0.4,0.28,1.5,2.5,0.0
Maïs doux en grains extra croquants,Géant Vert,B,Légumes,77.0,7.4,1.7,0.4,0.4,2.5,2.4,85.5835240274599
Maïs,"Carrefour, Carrefour Classic'",B,Légumes,77.0,5.5,1.7,0.3,0.26,2.8,2.6,76.9230769230769
Maíz Dulce,Hacendado,B,Légumes,82.0,6.7,1.4,0.4,0.4925,0.0,2.5,80.0
Maíz dulce,Juver,B,Légumes,76.0,5.8,1.7,0.4,0.5,0.0,2.8,85.5507868383405
Sandwich Sliced Gherkins,Mrs Elswood,B,Légumes,41.0,9.3,0.2,0.0,0.4,0.0,0.6,71.4285714285714
Citron cusine bio,Bjorg,B,Jus de Fruits,2.0,0.6,0.5,0.1,0.01,0.0,0.5,40.0
Pickled Gherkins,Bramwells,B,Légumes,23.0,3.4,0.2,0.0,0.945,0.8,0.8,73.6142857142857
Biscuits Soja Figue,Gerblé,B,Biscuits,457.0,15.0,19.0,1.9,0.02,6.9,12.0,19.7
Haricots blancs à la tomate,Carrefour,B,Légumineuses,74.0,0.9,1.2,0.2,0.82,6.4,5.1,95.5109585423818
Tofu firme,Hacendado,B,Légumineuses,110.0,0.4,6.9,1.2,0.04,0.4,11.1,18.75
Haricots rouges d'aucy 500g,D'aucy,B,Légumineuses,96.0,0.5,0.7,0.1,0.53,6.5,7.2,50.0
Salted peanuts,"Sainsburys, Stamford Street Co",B,Légumineuses,633.0,3.67,52.7,6.33,0.625,7.33,29.0,83.3333333333333
Haricots blancs à la tomate - 1/2,Saint eloi,B,Légumineuses,76.0,1.3,1.0,0.098,0.73,4.9,4.5,97.6939718753073
Fasola biała w sosie pomidorowym,Freshona,B,Légumineuses,83.0,5.0,0.6,0.2,0.85,5.9,4.1,92.4123337363966
Lentilles préparées - 4/4,"Les Mousquetaires, Saint eloi, Sélection des Mousquetaires",B,Légumes,82.0,0.3,0.5,0.1,0.74,4.9,7.3,51.3251392356443
Haricots Rouges Jus Nature 1/4 x3,Bonduelle,B,Légumineuses,105.0,0.7,0.4,0.1,0.52,7.0,7.9,50.0
Cookie Chocolat saveur noisette Sans sucres,Gerblé,B,Biscuits,445.0,0.0,20.0,3.6,0.18,6.0,8.0,14.15
Haricots blancs à la tomate,Freshona,B,Légumineuses,82.0,1.1,0.5,0.1,0.75,5.3,5.7,93.4398112105878
Garbanzos,Hacendado,B,Légumineuses,90.0,0.7,2.2,0.5,0.8,0.0,5.5,85.1894374282434
PLJ Lemon,Rayner's,B,Jus de Fruits,4.0,0.4,0.04,0.01,0.03,0.01,0.09,90.9375
Haricot Beans In Water,Tesco,B,Légumineuses,100.0,0.5,0.8,0.2,0.02,6.1,6.3,80.0
100% pur jus tomate,"CMI (Carrefour Marchandises Internationales),Carrefour,Groupe Carrefour",B,Jus de Fruits,12.0,2.7,0.1,0.0,0.3,0.0,0.6,99.7
Haricots blancs,Freshona,B,Légumineuses,104.0,0.2,0.8,0.3,0.4,5.4,6.6,74.2
Ratatouille bio - bocal 520g,"U,U Bio",B,Légumes,67.0,3.7,4.8,0.5,1.1,1.1,1.1,98.65
Dry Roasted Peanuts,Tesco,B,Légumineuses,597.0,6.3,46.4,4.3,0.9725,7.1,25.7,93.0542317708333
Lentilles cuisinées graisse canard,Cassegrain,B,Légumineuses,105.0,0.5,3.9,1.2,0.77,5.8,6.4,89.4120630626823
Lentilles préparées - Boîte 265g,U,B,Légumineuses,72.0,0.5,0.5,0.1,0.74,3.2,5.6,96.6726618705036
Lentilles préparées - 4/4,"Les Mousquetaires, Saint eloi, Sélection des Mousquetaires",B,Légumineuses,82.0,0.3,0.5,0.1,0.74,4.9,7.3,51.3251392356443
Lenteja pardina cocida,Hacendado,B,Légumineuses,89.0,0.5,0.4,0.1,1.0,0.0,8.2,85.0574712643678
sweet corn,Hacendado,B,Légumes,75.0,4.7,2.3,0.5,0.4925,0.0,2.6,85.5532427773367
Buraczki wiórki,Freshona,B,Légumes,50.0,8.9,0.5,0.1,0.36,0.0,1.4,75.0
Haricots blancs à la tomate,Freshona,B,Légumes,82.0,1.1,0.5,0.1,0.75,5.3,5.7,93.4398112105878
Haricots rouges - Boîte 250g,U,B,Légumes,96.0,0.5,0.7,0.1,0.44,6.5,7.2,50.0
Butter beans,Aldi,B,Légumineuses,109.0,0.8,0.4,0.1,0.01,6.2,7.7,62.5
Haricots rouges - Boîte 250g,U,B,Légumineuses,96.0,0.5,0.7,0.1,0.44,6.5,7.2,50.0
Lentilles vertes au sel de Noirmoutier,"Carrefour BIO, Carrefour",B,Légumineuses,66.0,0.5,0.6,0.2,0.38,4.2,5.3,50.9756097560976
Fourré FIGUES,Gerblé,B,Biscuits,358.0,2.6,11.0,0.9,0.48,5.6,4.6,25.6
Soja,Carrefour,B,Légumineuses,38.0,1.8,1.8,0.3,0.05,0.7,3.2,8.8
Green Giant,Green giant,B,Légumes,77.0,6.2,1.2,0.2,0.3925,3.0,2.4,80.0
Lentilles linsen freshona,"Campo largo, Freshona",B,Légumineuses,69.0,1.0,0.3,0.0,0.7,4.0,4.0,0.0
Lentilles,Freshona,B,Légumineuses,88.0,0.4,0.5,0.1,0.58,0.0,6.3,85.334250659328
ktc red kidney beans,ktc,B,Légumineuses,66.0,0.7,0.6,0.1,0.45,4.3,4.6,99.626400996264
Red Kidney beans,Sainsbury's,B,Légumineuses,98.0,0.5,0.7,0.2,0.02,7.1,8.2,75.0
Red Kidney Beans in chilli sauce,Tesco,B,Légumineuses,69.0,2.9,0.2,0.1,0.27,4.6,4.5,90.1597481343284
Lentilles préparées - Boîte 265g,U,B,Légumes,72.0,0.5,0.5,0.1,0.74,3.2,5.6,96.6726618705036
Haricots Rouges,Saint eloi,B,Légumineuses,95.0,0.5,0.6,0.1,0.53,6.4,8.3,50.0
Ultimate black daal,Jamie Oliver,B,Légumineuses,130.0,1.5,4.9,1.1,0.73,3.9,6.8,65.0544419642857
Jus de citron bio,Bouton d'or,B,Jus de Fruits,19.0,1.3,0.3,0.0,0.0,0.3,0.2,100.0
Butter beans,Aldi,B,Légumineuses,103.0,0.7,0.4,0.1,0.03,5.4,6.2,75.0
Haricots blancs à la tomate - 1/2,Saint eloi,B,Légumes,76.0,1.3,1.0,0.098,0.73,4.9,4.5,97.6939718753073
Maïs Bio 1/4 x2,Bonduelle,B,Légumes,80.0,7.5,1.4,0.3,0.3,3.1,2.2,85.5180309101317
Haricots rouges,"Carrefour BIO, Carrefour",B,Légumineuses,88.0,0.5,0.5,0.1,0.44,6.2,6.6,50.880195599022
Butter beans,Aldi,B,Légumineuses,103.0,0.7,0.4,0.1,0.03,5.4,6.2,75.0
Pickled Pink Onions,Aldi,B,Légumes,52.0,10.7,0.1,0.0,0.39,1.3,0.5,69.1081967213115
Haricots blancs à la tomate,Carrefour,B,Légumes,74.0,0.9,1.2,0.2,0.82,6.4,5.1,95.5109585423818
Organic red kidney beans in water,Tesco,B,Légumineuses,95.0,0.6,0.5,0.1,0.01,0.0,7.7,75.0
Alubia Blanca,Hacendado,B,Légumineuses,83.0,0.8,0.4,0.1,0.8,0.0,5.8,85.1894374282434
Baked Beans,"Heinz, K-Bio",B,Légumineuses,92.0,5.4,0.5,0.1,0.6,3.9,4.6,93.33203125
Lentilles préparées Cultivés en France d'aucy 530g,D'aucy,B,Légumes,70.0,0.1,0.5,0.0,0.62,3.0,5.3,50.0
Haricots Blancs préparés 1/2,Cassegrain,B,Légumineuses,98.0,1.1,0.6,0.1,0.77,5.7,6.5,98.3867674086175
Gehackte Tomaten,"Baresa, Freshona",B,Légumes,26.0,2.7,0.2,0.1,1.3,1.8,1.3,99.9
Spicy Red Kidney Beans,Aldi,B,Légumineuses,90.0,4.3,0.6,0.1,0.42,5.4,5.5,89.3696428571428
Butter Beans in water,Campo Largo,B,Légumineuses,102.0,1.0,1.1,0.2,0.03,0.0,6.5,100.0
Baked Beans,"Heinz, K-Bio",B,Légumes,92.0,5.4,0.5,0.1,0.6,3.9,4.6,93.33203125
Maïs,"Carrefour BIO,Carrefour",B,Légumes,85.0,5.2,1.6,0.2,0.32,3.3,3.0,14.3118845889627
Petits Pois 1/2,Cassegrain,B,Légumineuses,75.0,3.6,0.9,0.1,0.8,5.3,5.0,95.7004160887656
Haricots Rouges Jus Nature 1/4 x3,Bonduelle,B,Légumineuses,105.0,0.7,0.4,0.1,0.52,7.0,7.9,50.0
PLJ Lemon,Rayner's,B,Jus de Fruits,4.0,0.4,0.04,0.01,0.03,0.01,0.09,90.9375
Heinz Beans,Heinz,B,Légumineuses,81.0,4.3,0.4,0.1,0.59,3.9,4.8,86.0
sablé sésame saveur vanille  - Gerblé sans sucres,Gerblé,B,Biscuits,442.0,0.0,18.0,1.7,0.32,5.4,8.1,17.2
Taco Mixed Beans,Four Seasons,B,Légumineuses,75.0,3.4,0.4,0.1,0.001175,4.2,4.7,92.8089887640449
Soja Bio,Auchan Bio,B,Jus de Fruits,38.0,0.6,1.9,0.4,0.01,0.6,3.5,0.0
Lentilles,"Marque Repère,Notre Jardin",B,Légumineuses,94.0,0.5,0.5,0.0,0.475,3.4,6.0,50.0
Sweet Corn,"Bonduelle, Бондюэль",B,Légumes,73.0,5.1,1.4,0.2,0.275,3.0,2.7,0.0
Lentilles préparées Cultivés en France d'aucy 530g,D'aucy,B,Légumineuses,70.0,0.1,0.5,0.0,0.62,3.0,5.3,50.0
Supersweet Sweetcorn in Water,Four Seasons,B,Légumes,77.0,6.2,1.2,0.2,0.0,3.0,2.4,100.0
Cornichons Extra-fins aux 5 épices et aromates,"Carrefour, Groupe Carrefour",B,Légumes,16.0,0.0,1.0,0.2,1.5,1.2,1.2,87.2093023255814
"Cuisiné Lentilles, Millet & Petits légumes",Céréal Bio,B,Légumineuses,156.0,1.3,6.4,1.3,0.95,6.5,6.4,46.6
Mixed beans,Sainsburys,B,Légumineuses,76.0,3.3,0.5,0.1,0.483,4.3,4.6,77.8704545454545
Lentilles,"Marque Repère,Notre Jardin",B,Légumes,94.0,0.5,0.5,0.0,0.475,3.4,6.0,50.0
Lentejas a la Jardinera,Hacendado,B,Légumineuses,65.0,0.5,1.3,0.4,0.0,0.0,4.2,70.8806818181818
Cocktail Pulpe,,B,Jus de Fruits,25.0,4.9000000953674,0.10000000149012,0.0,0.0,0.0,0.89999997615814,0.0
Organic Black Beans in water,"Sainsbury's, Sainsbury's SO Organic",B,Légumineuses,45.8891013312,0.5,0.9,0.2,0.0125,10.0,3.0,75.0
SEREK WIEJSKI,PIATNICA,C,Fromages,97.0,1.5,5.0,3.5,0.6875,0.0,11.0,0.0
Natural Cottage Cheese,Sainsbury's,C,Fromages,111.0,3.4,6.5,3.9,0.403,0.0,9.6,0.0
Ricotta,Casa Azzurra,C,Fromages,150.0,3.0,12.0,8.4,0.000875,0.0,7.5,0.0
Quesco fresco cabra,Hacendado,C,Fromages,262.0,2.2,21.9,15.6,0.8,12.7,12.7,0.0
Petit déjeuner fruits rouges,Gerblé,C,Biscuits,457.0,17.0,17.0,1.6,0.21,6.6,8.7,4.0
BelVita Original Petit Déjeuner pépites de chocolat,"LU, belVita",C,Biscuits,436.0,16.0,14.0,2.0,0.85,7.1,8.6,0.0
Digestive zero sin azúcares,Gullón,C,Biscuits,430.0,0.5,16.0,1.5,0.88,6.5,6.2,0.0
Emmental râpé 29% Mat. Gr.,"Marque Repère, Les Croisés, Scamark (Filiale E. Leclerc)",C,Fromages,371.0,0.5,29.0,20.0,0.8,0.0,27.0,0.0
Mozzarella,Galbani,C,Fromages,220.0,1.0,16.0,11.0,0.7,0.0,17.0,0.0
Cuor di Cereale,Galletas Gullon,C,Biscuits,459.0,21.0,19.0,1.7,0.75,11.0,7.2,10.8970588235294
Gervita nature,Danone,C,Fromages,134.0,3.7,10.2,7.1,0.09,0.0,6.9,0.0
Sablé Nature sans sucres,Gerblé,C,Biscuits,424.0,0.0,15.0,1.2,0.22,5.2,6.0,9.1
Mozzarella mini,Galbani,C,Fromages,233.0,0.5,17.0,12.0,0.75,1.0,19.0,0.0
St Moret Ligne & Plaisir 8%  Minis,"Fromarsac, Savencia, St Moret",C,Fromages,0.0,5.0,8.0,5.5,1.0,0.0,10.0,0.0
Crousti'Son Miel 🍯🐝Sésame,Gerblé,C,Biscuits,439.0,16.0,16.0,1.6,0.26,12.0,8.8,20.2
Moelleux chocolat noix,Gerblé,C,Biscuits,434.0,13.0,23.0,3.0,0.23,9.6,7.3,21.2
Biscuit fondant choco 🍫noir (sans sucres ajoutés),Gerblé,C,Biscuits,429.0,0.495,21.0,9.1,0.26,8.8,7.0,0.0407902644230784
Mini light,Babybel,C,Fromages,210.0,0.05,12.0,8.0,1.78,0.0,25.0,0.0
"Gerblé - Sablés sans sucres saveur citron et Yuzu, 132g (4.7oz)",Gerblé,C,Biscuits,424.0,0.0,15.0,1.2,0.22,5.1,6.0,9.5175
Galbani mozzarella - maxi 250g,Galbani,C,Fromages,238.0,1.0,18.0,13.0,0.7,0.0,17.0,0.0
Queso Gouda,Hacendado,C,Fromages,345.0,0.0,27.9,19.3,0.0,0.0,23.4,0.0
Emmental Râpé Fondant,Carrefour,C,Fromages,369.0,0.5,29.0,19.0,0.7,1.2,27.0,0.0
St Môret Léger 8% MG,"Savencia, St Moret",C,Fromages,132.0,5.0,8.0,5.5,1.0,0.0,10.0,0.0
Garlic & Herbs,Philadelphia,C,Fromages,142.0,5.3,10.0,6.7,0.91,0.4,7.2,23.6111111111111
Chèvre frais,Chêne d'Argent,C,Fromages,160.0,3.0,12.0,8.0,1.1,0.0,10.0,0.0
Müsli oat biscuits,Emco,C,Biscuits,467.0,20.0,20.0,5.0,0.167,6.67,10.0,16.2
Melloeux Fruit Rouges,"BelVita, LU, Mondelēz",C,Biscuits,386.0,22.0,12.0,1.1,0.34,7.2,5.3,18.76875
Lightest,PHILADELPHIA,C,Fromages,86.7,5.0,2.67,1.67,0.85,0.333,10.7,0.0
L'Emmental Français Extra fin,EntreMont,C,Fromages,369.0,0.5,30.0,20.0,0.7,0.0,28.0,0.0
Le petit Gerblé nature,gerblé,C,Biscuits,449.0,18.0,14.0,1.3,0.19,5.3,10.0,23.3932032
La Vache qui rit légère 16 portions,"La vache qui rit, bel",C,Fromages,152.0,6.0,8.0,5.3,1.5,0.0,14.0,0.0
Cottage Cheese,Pilos,C,Fromages,97.0,0.0,5.0,3.4,0.75,0.0,11.0,0.0
Gerblé cacao céréales,Gerblé,C,Biscuits,453.0,13.0,17.0,2.2,0.17,6.1,10.0,12.0
Tesco Soft Cheese 50% less fat,Tesco,C,Fromages,157.0,3.6,11.0,6.9,0.3925,0.0,9.7,0.0
Burata,Milbona,C,Fromages,254.0,1.4,23.0,16.0,0.365,0.0,10.0,0.0
pur jus de 2 fruits pressés pomme et mangue,Innocent,C,Jus de Fruits,47.1,9.6,0.0,0.0,0.0,0.63,0.0,100.0
Biscuit Chocolat Céréales,gerlinea,C,Biscuits,434.0,15.0,14.0,2.0,0.38,9.4,17.0,8.45
Die Backfrische Vegane Filetstückchen,"Nestlé,Original Wagner",C,Pizzas,177.0,3.5,3.41,1.12,1.18,2.79,6.26,26.7
Margherita,Pizza Express,C,Pizzas,263.0,3.4,8.7,4.0,0.915,2.6,13.1,27.0
Pizza Prosciutto e Mozzarella,Italiamo,C,Pizzas,202.0,2.5,6.3,3.0,1.1,0.0,9.8,16.6255555555556
Steinofenpizza Salami,Trattoria Alfredo,C,Pizzas,228.0,3.4,9.0,4.0,1.0,2.0,10.2,39.7204861111111
"Gullon Cuordi Cereale Tradizionale, Alto Contenuto Di Fibra",Gullon,C,Biscuits,455.0,16.0,19.0,1.7,0.75,12.0,7.9,0.0
All american Pizza Cheesy Spinach,Dr. Oetker,C,Pizzas,221.0,3.0,7.9,3.1,1.0,2.1,9.4,35.7639770507813
2 cheese and tomato pizzas,Lidl,C,Pizzas,244.0,3.0,7.5,4.0,0.8,3.0,12.0,0.0
la numero uno Tonno & Cipolla,Italpizza,C,Pizzas,207.0,1.1,7.6,2.7,1.0,1.3,10.0,18.6
